Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,Survived
1,22,7.25,0,1,0,3,0
2,38,71.2833,1,1,0,1,1
3,26,7.925,1,0,0,3,1
4,35,53.1,1,1,0,1,1
5,35,8.05,0,0,0,3,0
6,28,8.4583,0,0,0,3,0
7,54,51.8625,0,0,0,1,0
8,2,21.075,0,3,1,3,0
9,27,11.1333,1,0,2,3,1
10,14,30.0708,1,1,0,2,1
11,4,16.7,1,1,1,3,1
12,58,26.55,1,0,0,1,1
13,20,8.05,0,0,0,3,0
14,39,31.275,0,1,5,3,0
15,14,7.8542,1,0,0,3,0
16,55,16,1,0,0,2,1
17,2,29.125,0,4,1,3,0
18,28,13,0,0,0,2,1
19,31,18,1,1,0,3,0
20,28,7.225,1,0,0,3,1
21,35,26,0,0,0,2,0
22,34,13,0,0,0,2,1
23,15,8.0292,1,0,0,3,1
24,28,35.5,0,0,0,1,1
25,8,21.075,1,3,1,3,0
26,38,31.3875,1,1,5,3,1
27,28,7.225,0,0,0,3,0
28,19,263,0,3,2,1,0
29,28,7.8792,1,0,0,3,1
30,28,7.8958,0,0,0,3,0
31,40,27.7208,0,0,0,1,0
32,28,146.5208,1,1,0,1,1
33,28,7.75,1,0,0,3,1
34,66,10.5,0,0,0,2,0
35,28,82.1708,0,1,0,1,0
36,42,52,0,1,0,1,0
37,28,7.2292,0,0,0,3,1
38,21,8.05,0,0,0,3,0
39,18,18,1,2,0,3,0
40,14,11.2417,1,1,0,3,1
41,40,9.475,1,1,0,3,0
42,27,21,1,1,0,2,0
43,28,7.8958,0,0,0,3,0
44,3,41.5792,1,1,2,2,1
45,19,7.8792,1,0,0,3,1
46,28,8.05,0,0,0,3,0
47,28,15.5,0,1,0,3,0
48,28,7.75,1,0,0,3,1
49,28,21.6792,0,2,0,3,0
50,18,17.8,1,1,0,3,0
51,7,39.6875,0,4,1,3,0
52,21,7.8,0,0,0,3,0
53,49,76.7292,1,1,0,1,1
54,29,26,1,1,0,2,1
55,65,61.9792,0,0,1,1,0
56,28,35.5,0,0,0,1,1
57,21,10.5,1,0,0,2,1
58,28.5,7.2292,0,0,0,3,0
59,5,27.75,1,1,2,2,1
60,11,46.9,0,5,2,3,0
61,22,7.2292,0,0,0,3,0
62,38,80,1,0,0,1,1
63,45,83.475,0,1,0,1,0
64,4,27.9,0,3,2,3,0
65,28,27.7208,0,0,0,1,0
66,28,15.2458,0,1,1,3,1
67,29,10.5,1,0,0,2,1
68,19,8.1583,0,0,0,3,0
69,17,7.925,1,4,2,3,1
70,26,8.6625,0,2,0,3,0
71,32,10.5,0,0,0,2,0
72,16,46.9,1,5,2,3,0
73,21,73.5,0,0,0,2,0
74,26,14.4542,0,1,0,3,0
75,32,56.4958,0,0,0,3,1
76,25,7.65,0,0,0,3,0
77,28,7.8958,0,0,0,3,0
78,28,8.05,0,0,0,3,0
79,0.83,29,0,0,2,2,1
80,30,12.475,1,0,0,3,1
81,22,9,0,0,0,3,0
82,29,9.5,0,0,0,3,1
83,28,7.7875,1,0,0,3,1
84,28,47.1,0,0,0,1,0
85,17,10.5,1,0,0,2,1
86,33,15.85,1,3,0,3,1
87,16,34.375,0,1,3,3,0
88,28,8.05,0,0,0,3,0
89,23,263,1,3,2,1,1
90,24,8.05,0,0,0,3,0
91,29,8.05,0,0,0,3,0
92,20,7.8542,0,0,0,3,0
93,46,61.175,0,1,0,1,0
94,26,20.575,0,1,2,3,0
95,59,7.25,0,0,0,3,0
96,28,8.05,0,0,0,3,0
97,71,34.6542,0,0,0,1,0
98,23,63.3583,0,0,1,1,1
99,34,23,1,0,1,2,1
100,34,26,0,1,0,2,0
101,28,7.8958,1,0,0,3,0
102,28,7.8958,0,0,0,3,0
103,21,77.2875,0,0,1,1,0
104,33,8.6542,0,0,0,3,0
105,37,7.925,0,2,0,3,0
106,28,7.8958,0,0,0,3,0
107,21,7.65,1,0,0,3,1
108,28,7.775,0,0,0,3,1
109,38,7.8958,0,0,0,3,0
110,28,24.15,1,1,0,3,1
111,47,52,0,0,0,1,0
112,14.5,14.4542,1,1,0,3,0
113,22,8.05,0,0,0,3,0
114,20,9.825,1,1,0,3,0
115,17,14.4583,1,0,0,3,0
116,21,7.925,0,0,0,3,0
117,70.5,7.75,0,0,0,3,0
118,29,21,0,1,0,2,0
119,24,247.5208,0,0,1,1,0
120,2,31.275,1,4,2,3,0
121,21,73.5,0,2,0,2,0
122,28,8.05,0,0,0,3,0
123,32.5,30.0708,0,1,0,2,0
124,32.5,13,1,0,0,2,1
125,54,77.2875,0,0,1,1,0
126,12,11.2417,0,1,0,3,1
127,28,7.75,0,0,0,3,0
128,24,7.1417,0,0,0,3,1
129,28,22.3583,1,1,1,3,1
130,45,6.975,0,0,0,3,0
131,33,7.8958,0,0,0,3,0
132,20,7.05,0,0,0,3,0
133,47,14.5,1,1,0,3,0
134,29,26,1,1,0,2,1
135,25,13,0,0,0,2,0
136,23,15.0458,0,0,0,2,0
137,19,26.2833,1,0,2,1,1
138,37,53.1,0,1,0,1,0
139,16,9.2167,0,0,0,3,0
140,24,79.2,0,0,0,1,0
141,28,15.2458,1,0,2,3,0
142,22,7.75,1,0,0,3,1
143,24,15.85,1,1,0,3,1
144,19,6.75,0,0,0,3,0
145,18,11.5,0,0,0,2,0
146,19,36.75,0,1,1,2,0
147,27,7.7958,0,0,0,3,1
148,9,34.375,1,2,2,3,0
149,36.5,26,0,0,2,2,0
150,42,13,0,0,0,2,0
151,51,12.525,0,0,0,2,0
152,22,66.6,1,1,0,1,1
153,55.5,8.05,0,0,0,3,0
154,40.5,14.5,0,0,2,3,0
155,28,7.3125,0,0,0,3,0
156,51,61.3792,0,0,1,1,0
157,16,7.7333,1,0,0,3,1
158,30,8.05,0,0,0,3,0
159,28,8.6625,0,0,0,3,0
160,28,69.55,0,8,2,3,0
161,44,16.1,0,0,1,3,0
162,40,15.75,1,0,0,2,1
163,26,7.775,0,0,0,3,0
164,17,8.6625,0,0,0,3,0
165,1,39.6875,0,4,1,3,0
166,9,20.525,0,0,2,3,1
167,28,55,1,0,1,1,1
168,45,27.9,1,1,4,3,0
169,28,25.925,0,0,0,1,0
170,28,56.4958,0,0,0,3,0
171,61,33.5,0,0,0,1,0
172,4,29.125,0,4,1,3,0
173,1,11.1333,1,1,1,3,1
174,21,7.925,0,0,0,3,0
175,56,30.6958,0,0,0,1,0
176,18,7.8542,0,1,1,3,0
177,28,25.4667,0,3,1,3,0
178,50,28.7125,1,0,0,1,0
179,30,13,0,0,0,2,0
180,36,0,0,0,0,3,0
181,28,69.55,1,8,2,3,0
182,28,15.05,0,0,0,2,0
183,9,31.3875,0,4,2,3,0
184,1,39,0,2,1,2,1
185,4,22.025,1,0,2,3,1
186,28,50,0,0,0,1,0
187,28,15.5,1,1,0,3,1
188,45,26.55,0,0,0,1,1
189,40,15.5,0,1,1,3,0
190,36,7.8958,0,0,0,3,0
191,32,13,1,0,0,2,1
192,19,13,0,0,0,2,0
193,19,7.8542,1,1,0,3,1
194,3,26,0,1,1,2,1
195,44,27.7208,1,0,0,1,1
196,58,146.5208,1,0,0,1,1
197,28,7.75,0,0,0,3,0
198,42,8.4042,0,0,1,3,0
199,28,7.75,1,0,0,3,1
200,24,13,1,0,0,2,0
201,28,9.5,0,0,0,3,0
202,28,69.55,0,8,2,3,0
203,34,6.4958,0,0,0,3,0
204,45.5,7.225,0,0,0,3,0
205,18,8.05,0,0,0,3,1
206,2,10.4625,1,0,1,3,0
207,32,15.85,0,1,0,3,0
208,26,18.7875,0,0,0,3,1
209,16,7.75,1,0,0,3,1
210,40,31,0,0,0,1,1
211,24,7.05,0,0,0,3,0
212,35,21,1,0,0,2,1
213,22,7.25,0,0,0,3,0
214,30,13,0,0,0,2,0
215,28,7.75,0,1,0,3,0
216,31,113.275,1,1,0,1,1
217,27,7.925,1,0,0,3,1
218,42,27,0,1,0,2,0
219,32,76.2917,1,0,0,1,1
220,30,10.5,0,0,0,2,0
221,16,8.05,0,0,0,3,1
222,27,13,0,0,0,2,0
223,51,8.05,0,0,0,3,0
224,28,7.8958,0,0,0,3,0
225,38,90,0,1,0,1,1
226,22,9.35,0,0,0,3,0
227,19,10.5,0,0,0,2,1
228,20.5,7.25,0,0,0,3,0
229,18,13,0,0,0,2,0
230,28,25.4667,1,3,1,3,0
231,35,83.475,1,1,0,1,1
232,29,7.775,0,0,0,3,0
233,59,13.5,0,0,0,2,0
234,5,31.3875,1,4,2,3,1
235,24,10.5,0,0,0,2,0
236,28,7.55,1,0,0,3,0
237,44,26,0,1,0,2,0
238,8,26.25,1,0,2,2,1
239,19,10.5,0,0,0,2,0
240,33,12.275,0,0,0,2,0
241,28,14.4542,1,1,0,3,0
242,28,15.5,1,1,0,3,1
243,29,10.5,0,0,0,2,0
244,22,7.125,0,0,0,3,0
245,30,7.225,0,0,0,3,0
246,44,90,0,2,0,1,0
247,25,7.775,1,0,0,3,0
248,24,14.5,1,0,2,2,1
249,37,52.5542,0,1,1,1,1
250,54,26,0,1,0,2,0
251,28,7.25,0,0,0,3,0
252,29,10.4625,1,1,1,3,0
253,62,26.55,0,0,0,1,0
254,30,16.1,0,1,0,3,0
255,41,20.2125,1,0,2,3,0
256,29,15.2458,1,0,2,3,1
257,28,79.2,1,0,0,1,1
258,30,86.5,1,0,0,1,1
259,35,512.3292,1,0,0,1,1
260,50,26,1,0,1,2,1
261,28,7.75,0,0,0,3,0
262,3,31.3875,0,4,2,3,1
263,52,79.65,0,1,1,1,0
264,40,0,0,0,0,1,0
265,28,7.75,1,0,0,3,0
266,36,10.5,0,0,0,2,0
267,16,39.6875,0,4,1,3,0
268,25,7.775,0,1,0,3,1
269,58,153.4625,1,0,1,1,1
270,35,135.6333,1,0,0,1,1
271,28,31,0,0,0,1,0
272,25,0,0,0,0,3,1
273,41,19.5,1,0,1,2,1
274,37,29.7,0,0,1,1,0
275,28,7.75,1,0,0,3,1
276,63,77.9583,1,1,0,1,1
277,45,7.75,1,0,0,3,0
278,28,0,0,0,0,2,0
279,7,29.125,0,4,1,3,0
280,35,20.25,1,1,1,3,1
281,65,7.75,0,0,0,3,0
282,28,7.8542,0,0,0,3,0
283,16,9.5,0,0,0,3,0
284,19,8.05,0,0,0,3,1
285,28,26,0,0,0,1,0
286,33,8.6625,0,0,0,3,0
287,30,9.5,0,0,0,3,1
288,22,7.8958,0,0,0,3,0
289,42,13,0,0,0,2,1
290,22,7.75,1,0,0,3,1
291,26,78.85,1,0,0,1,1
292,19,91.0792,1,1,0,1,1
293,36,12.875,0,0,0,2,0
294,24,8.85,1,0,0,3,0
295,24,7.8958,0,0,0,3,0
296,28,27.7208,0,0,0,1,0
297,23.5,7.2292,0,0,0,3,0
298,2,151.55,1,1,2,1,0
299,28,30.5,0,0,0,1,1
300,50,247.5208,1,0,1,1,1
301,28,7.75,1,0,0,3,1
302,28,23.25,0,2,0,3,1
303,19,0,0,0,0,3,0
304,28,12.35,1,0,0,2,1
305,28,8.05,0,0,0,3,0
306,0.92,151.55,0,1,2,1,1
307,28,110.8833,1,0,0,1,1
308,17,108.9,1,1,0,1,1
309,30,24,0,1,0,2,0
310,30,56.9292,1,0,0,1,1
311,24,83.1583,1,0,0,1,1
312,18,262.375,1,2,2,1,1
313,26,26,1,1,1,2,0
314,28,7.8958,0,0,0,3,0
315,43,26.25,0,1,1,2,0
316,26,7.8542,1,0,0,3,1
317,24,26,1,1,0,2,1
318,54,14,0,0,0,2,0
319,31,164.8667,1,0,2,1,1
320,40,134.5,1,1,1,1,1
321,22,7.25,0,0,0,3,0
322,27,7.8958,0,0,0,3,0
323,30,12.35,1,0,0,2,1
324,22,29,1,1,1,2,1
325,28,69.55,0,8,2,3,0
326,36,135.6333,1,0,0,1,1
327,61,6.2375,0,0,0,3,0
328,36,13,1,0,0,2,1
329,31,20.525,1,1,1,3,1
330,16,57.9792,1,0,1,1,1
331,28,23.25,1,2,0,3,1
332,45.5,28.5,0,0,0,1,0
333,38,153.4625,0,0,1,1,0
334,16,18,0,2,0,3,0
335,28,133.65,1,1,0,1,1
336,28,7.8958,0,0,0,3,0
337,29,66.6,0,1,0,1,0
338,41,134.5,1,0,0,1,1
339,45,8.05,0,0,0,3,1
340,45,35.5,0,0,0,1,0
341,2,26,0,1,1,2,1
342,24,263,1,3,2,1,1
343,28,13,0,0,0,2,0
344,25,13,0,0,0,2,0
345,36,13,0,0,0,2,0
346,24,13,1,0,0,2,1
347,40,13,1,0,0,2,1
348,28,16.1,1,1,0,3,1
349,3,15.9,0,1,1,3,1
350,42,8.6625,0,0,0,3,0
351,23,9.225,0,0,0,3,0
352,28,35,0,0,0,1,0
353,15,7.2292,0,1,1,3,0
354,25,17.8,0,1,0,3,0
355,28,7.225,0,0,0,3,0
356,28,9.5,0,0,0,3,0
357,22,55,1,0,1,1,1
358,38,13,1,0,0,2,0
359,28,7.8792,1,0,0,3,1
360,28,7.8792,1,0,0,3,1
361,40,27.9,0,1,4,3,0
362,29,27.7208,0,1,0,2,0
363,45,14.4542,1,0,1,3,0
364,35,7.05,0,0,0,3,0
365,28,15.5,0,1,0,3,0
366,30,7.25,0,0,0,3,0
367,60,75.25,1,1,0,1,1
368,28,7.2292,1,0,0,3,1
369,28,7.75,1,0,0,3,1
370,24,69.3,1,0,0,1,1
371,25,55.4417,0,1,0,1,1
372,18,6.4958,0,1,0,3,0
373,19,8.05,0,0,0,3,0
374,22,135.6333,0,0,0,1,0
375,3,21.075,1,3,1,3,0
376,28,82.1708,1,1,0,1,1
377,22,7.25,1,0,0,3,1
378,27,211.5,0,0,2,1,0
379,20,4.0125,0,0,0,3,0
380,19,7.775,0,0,0,3,0
381,42,227.525,1,0,0,1,1
382,1,15.7417,1,0,2,3,1
383,32,7.925,0,0,0,3,0
384,35,52,1,1,0,1,1
385,28,7.8958,0,0,0,3,0
386,18,73.5,0,0,0,2,0
387,1,46.9,0,5,2,3,0
388,36,13,1,0,0,2,1
389,28,7.7292,0,0,0,3,0
390,17,12,1,0,0,2,1
391,36,120,0,1,2,1,1
392,21,7.7958,0,0,0,3,1
393,28,7.925,0,2,0,3,0
394,23,113.275,1,1,0,1,1
395,24,16.7,1,0,2,3,1
396,22,7.7958,0,0,0,3,0
397,31,7.8542,1,0,0,3,0
398,46,26,0,0,0,2,0
399,23,10.5,0,0,0,2,0
400,28,12.65,1,0,0,2,1
401,39,7.925,0,0,0,3,1
402,26,8.05,0,0,0,3,0
403,21,9.825,1,1,0,3,0
404,28,15.85,0,1,0,3,0
405,20,8.6625,1,0,0,3,0
406,34,21,0,1,0,2,0
407,51,7.75,0,0,0,3,0
408,3,18.75,0,1,1,2,1
409,21,7.775,0,0,0,3,0
410,28,25.4667,1,3,1,3,0
411,28,7.8958,0,0,0,3,0
412,28,6.8583,0,0,0,3,0
413,33,90,1,1,0,1,1
414,28,0,0,0,0,2,0
415,44,7.925,0,0,0,3,1
416,28,8.05,1,0,0,3,0
417,34,32.5,1,1,1,2,1
418,18,13,1,0,2,2,1
419,30,13,0,0,0,2,0
420,10,24.15,1,0,2,3,0
421,28,7.8958,0,0,0,3,0
422,21,7.7333,0,0,0,3,0
423,29,7.875,0,0,0,3,0
424,28,14.4,1,1,1,3,0
425,18,20.2125,0,1,1,3,0
426,28,7.25,0,0,0,3,0
427,28,26,1,1,0,2,1
428,19,26,1,0,0,2,1
429,28,7.75,0,0,0,3,0
430,32,8.05,0,0,0,3,1
431,28,26.55,0,0,0,1,1
432,28,16.1,1,1,0,3,1
433,42,26,1,1,0,2,1
434,17,7.125,0,0,0,3,0
435,50,55.9,0,1,0,1,0
436,14,120,1,1,2,1,1
437,21,34.375,1,2,2,3,0
438,24,18.75,1,2,3,2,1
439,64,263,0,1,4,1,0
440,31,10.5,0,0,0,2,0
441,45,26.25,1,1,1,2,1
442,20,9.5,0,0,0,3,0
443,25,7.775,0,1,0,3,0
444,28,13,1,0,0,2,1
445,28,8.1125,0,0,0,3,1
446,4,81.8583,0,0,2,1,1
447,13,19.5,1,0,1,2,1
448,34,26.55,0,0,0,1,1
449,5,19.2583,1,2,1,3,1
450,52,30.5,0,0,0,1,1
451,36,27.75,0,1,2,2,0
452,28,19.9667,0,1,0,3,0
453,30,27.75,0,0,0,1,0
454,49,89.1042,0,1,0,1,1
455,28,8.05,0,0,0,3,0
456,29,7.8958,0,0,0,3,1
457,65,26.55,0,0,0,1,0
458,28,51.8625,1,1,0,1,1
459,50,10.5,1,0,0,2,1
460,28,7.75,0,0,0,3,0
461,48,26.55,0,0,0,1,1
462,34,8.05,0,0,0,3,0
463,47,38.5,0,0,0,1,0
464,48,13,0,0,0,2,0
465,28,8.05,0,0,0,3,0
466,38,7.05,0,0,0,3,0
467,28,0,0,0,0,2,0
468,56,26.55,0,0,0,1,0
469,28,7.725,0,0,0,3,0
470,0.75,19.2583,1,2,1,3,1
771,24,9.5,0,0,0,3,0
772,48,7.8542,0,0,0,3,0
773,57,10.5,1,0,0,2,0
774,28,7.225,0,0,0,3,0
775,54,23,1,1,3,2,1
776,18,7.75,0,0,0,3,0
777,28,7.75,0,0,0,3,0
778,5,12.475,1,0,0,3,1
779,28,7.7375,0,0,0,3,0
780,43,211.3375,1,0,1,1,1
781,13,7.2292,1,0,0,3,1
782,17,57,1,1,0,1,1
783,29,30,0,0,0,1,0
784,28,23.45,0,1,2,3,0
785,25,7.05,0,0,0,3,0
786,25,7.25,0,0,0,3,0
787,18,7.4958,1,0,0,3,1
788,8,29.125,0,4,1,3,0
789,1,20.575,0,1,2,3,1
790,46,79.2,0,0,0,1,0
791,28,7.75,0,0,0,3,0
792,16,26,0,0,0,2,0
793,28,69.55,1,8,2,3,0
794,28,30.6958,0,0,0,1,0
795,25,7.8958,0,0,0,3,0
796,39,13,0,0,0,2,0
797,49,25.9292,1,0,0,1,1
798,31,8.6833,1,0,0,3,1
799,30,7.2292,0,0,0,3,0
800,30,24.15,1,1,1,3,0
801,34,13,0,0,0,2,0
802,31,26.25,1,1,1,2,1
803,11,120,0,1,2,1,1
804,0.42,8.5167,0,0,1,3,1
805,27,6.975,0,0,0,3,1
806,31,7.775,0,0,0,3,0
807,39,0,0,0,0,1,0
808,18,7.775,1,0,0,3,0
809,39,13,0,0,0,2,0
810,33,53.1,1,1,0,1,1
811,26,7.8875,0,0,0,3,0
812,39,24.15,0,0,0,3,0
813,35,10.5,0,0,0,2,0
814,6,31.275,1,4,2,3,0
